 ** Video Info ** 
Video File:
	Name:	poisson.mp4
	Frame Count:	379.0
	Video Duration:	14.037037037037036
	Width:	1280
	Height:	720
	FPS:	27.0
	Play Audio Track:	True
Video Display:
	Window Resolution:	[2560 1080]
	Window Fullscreen:	True
	Drawn Size:	[1280.  720.]
	Refresh Rate (reported / calculated):	60 / 60.03691069243398

 ** Video Playback Stats ** 
Playback Time: 14.161
Total Frames Dropped: 3
Draw duration (min, max, mean): (0.003008, 0.024939, 0.004086)
Flip duration (min, max, mean): (0.004389, 0.095396, 0.012759)
Draw + Flip duration (min, max, mean): (0.012378, 0.100319, 0.016846)
Frame Display Interval (min, max, mean): (0.000000, 1.034616, 0.040115)
Effective Frame Interval (min, max, mean): (0.000000, 1.034616, 0.040038)

 ** Column Definitions ** 
frame_num:	The frame index being displayed. Range is 1 to video frame count.
frame_flip_time:	The time returned by win.flip() for the current frame_num.
playback_duration:	current frame_flip_time minus the first video frame_flip_time.
frame_num_dx:	Equals current frame_num - the last flipped frame_num.
dropped_count:	Total number of video frames dropped so far.
draw_duration:	The time taken for the current video frames .draw() call to return.
flip_duration:	The time taken for the win.flip() call to return.
flip_interval:	current frame_num frame_flip_time - last frame_flip_time.
per_frame_interval:	Equals flip_interval / frame_num_dx.
fps:	Equals playback_duration / current frame_num.

 ** Per Frame Video Playback Data ** 
frame_num	frame_flip_time	playback_duration	frame_num_dx	dropped_count	draw_duration	flip_duration	flip_interval	per_frame_interval	fps
235	56.111299	9.644235	1	3	0.004753	0.012054	0.038615	0.038615	24.367
236	56.146605	9.679541	1	3	0.003894	0.011317	0.035306	0.035306	24.381
237	56.186879	9.719815	1	3	0.004821	0.013733	0.040274	0.040274	24.383
238	56.220564	9.753501	1	3	0.003568	0.011718	0.033686	0.033686	24.401
239	56.259149	9.792085	1	3	0.003942	0.013111	0.038585	0.038585	24.407
240	56.294096	9.827032	1	3	0.003719	0.011391	0.034947	0.034947	24.422
241	56.332176	9.865112	1	3	0.003223	0.013116	0.038080	0.038080	24.430
242	56.368724	9.901661	1	3	0.004580	0.012329	0.036549	0.036549	24.440
243	56.406772	9.939709	1	3	0.003008	0.013068	0.038048	0.038048	24.447
244	56.445174	9.978110	1	3	0.004545	0.012030	0.038402	0.038402	24.454
245	56.479574	10.012510	1	3	0.003771	0.011281	0.034400	0.034400	24.469
246	56.517954	10.050890	1	3	0.003395	0.013162	0.038380	0.038380	24.475
247	56.556010	10.088946	1	3	0.003601	0.013106	0.038056	0.038056	24.482
248	56.592388	10.125324	1	3	0.003758	0.012338	0.036378	0.036378	24.493
249	56.630717	10.163654	1	3	0.004622	0.012023	0.038329	0.038329	24.499
250	56.667122	10.200058	1	3	0.003881	0.012292	0.036404	0.036404	24.510
251	56.702789	10.235725	1	3	0.003617	0.012257	0.035667	0.035667	24.522
252	56.741927	10.274864	1	3	0.004099	0.013010	0.039138	0.039138	24.526
253	56.776099	10.309035	1	3	0.003181	0.011209	0.034172	0.034172	24.542
254	56.813500	10.346436	1	3	0.003146	0.012752	0.037401	0.037401	24.550
255	56.852631	10.385567	1	3	0.004201	0.013905	0.039131	0.039131	24.553
256	56.889719	10.422655	1	3	0.003381	0.013874	0.037088	0.037088	24.562
257	56.925486	10.458422	1	3	0.003577	0.012564	0.035767	0.035767	24.573
258	56.960764	10.493700	1	3	0.004117	0.011423	0.035278	0.035278	24.586
259	57.001847	10.534784	1	3	0.004796	0.013945	0.041083	0.041083	24.585
260	57.034120	10.567056	1	3	0.003459	0.011595	0.032272	0.032272	24.605
261	57.073877	10.606813	1	3	0.004069	0.013874	0.039757	0.039757	24.607
